task1, task2, shortMax, shortMean, shortSD, longMax, longMean, longSD, qComputed, infFactor, inflatedQ, medMax, medMean, medSD, costRatio, score
adpcm_enc,huff_enc,314599,291598.667,2118.7317438300947,321825,291405.6782232178,1332.4103738858637,0.9981671713873461,1,0.9981671713873461,314599,291466.4164,1617.386152716116,1.554840392652788,0.22921758658039346,
adpcm_enc,mpeg2,136949961,136809714.891,43905.69201698807,179237536,136801963.16287836,141199.4721368821,0.9988928515478434,1,0.9988928515478434,136971607,136805803.3348,44532.790593174315,776.5931586319532,0.1584788390543215,
adpcm_enc,ndes,182050,152695.924,3999.591760226595,197726,152584.0154198458,3730.699057967853,0.9989535168940591,1,0.9989535168940591,197162,152621.1304,3808.794617824929,4.293725194185395,0.5070247632033894,
adpcm_enc,petrinet,175564,150980.215,3248.7647759332076,200322,150952.53731462685,3431.247774872882,0.9991060716053176,1,0.9991060716053176,182026,151052.9264,3449.7184284920113,137.65729898516784,4.439500390320062,
adpcm_enc,rijndael_dec,986615,933711.307,12955.094273465762,1466101,932876.3648863512,12432.13852632308,0.9983533694627398,1,0.9983533694627398,986615,933416.07,12761.849950613147,5.303840897362466,0.29114943376110786,
adpcm_enc,rijndael_enc,928513,895540.451,8935.27932916981,1397164,895652.6171038289,9230.445740967716,0.9988770855011221,1,0.9988770855011221,930261,895609.0248,9033.449364221362,5.0863563930837765,0.1890563063190786,
adpcm_enc,statemate,175718,151488.615,3554.490295391877,194414,151569.0105898941,3466.104599941821,0.9990413733098656,1,0.9990413733098656,176233,151358.4272,3317.482693439209,5.486931358516398,-0.003298276183956687,
adpcm_enc,susan,12131908,10964051.394,39298.88077662084,16372660,10962356.804651953,22867.73056999817,0.9927243114009401,1,0.9927243114009401,12131908,10962762.7968,26113.932781364696,62.427131831302205,6.371647792036929,
ammunition,ammunition,71321397,71241959.445,21346.897997908458,71585550,71241256.48336516,21731.371203112467,0.9990196781904062,1,0.9990196781904062,71321397,71241376.7584,21626.761953271296,1.0,0.5125703971933758,
ammunition,cjpeg_transupp,48331241,48237054.151,25238.02192214639,68970801,48236174.270077296,70487.58529134019,0.9987951311888988,1,0.9987951311888988,48331241,48237744.9368,24764.770045994333,53.17073742800052,1.329247912748136,
ammunition,cjpeg_wrbmp,47887265,47822799.407,24106.51593444911,69251396,47823380.964370355,73171.75443557426,0.9989949106074539,1,0.9989949106074539,47890719,47822271.1332,23950.041686589473,870.3085697410436,13.626515808708172,
ammunition,dijkstra,56351947,55378204.913,38986.830950630036,69441600,55375204.372346275,50050.627841911504,0.9990080993322449,1,0.9990080993322449,56351947,55375410.2268,30305.925014553784,2.8184524875123333,0.5498834512349651,
ammunition,epic,48229136,48170998.138,23081.028820621803,68911771,48170092.45294547,70776.24017904433,0.9989599414113838,1,0.9989599414113838,48238969,48170764.7624,24057.330400365357,65.4152829358908,1.5073465248461122,
ammunition,fmref,47940341,47857578.858,25615.833327199856,68892767,47855267.77403226,71270.44720835354,0.9990461045278942,1,0.9990461045278942,47940341,47856031.72,24723.80279062612,252.29379063110304,4.215698654324621,
ammunition,gsm_dec,48126894,48059591.774,24158.57214698553,68933275,48059998.040629596,71655.48555824668,0.9990038907299739,1,0.9990038907299739,48133680,48059540.236,24328.488837425746,94.3030099398012,1.96242475150497,
ammunition,gsm_enc,48613068,48537005.122,21902.652161252365,68938526,48535945.24667753,70071.10474172924,0.9990094310226482,1,0.9990094310226482,48613068,48533984.1948,23580.656572559852,34.20797806160018,1.059645024502958,
ammunition,huff_enc,47989939,47925380.23,22739.95682822748,68869235,47924637.27865721,71284.64517278619,0.9990079526685264,1,0.9990079526685264,48002708,47927100.0176,23485.713556820014,171.97687642014887,3.1011127766896807,
ammunition,mpeg2,157325474,156673702.199,44876.900531952444,183254482,156662678.0282297,94481.92473141194,0.9989910342207272,1,0.9989910342207272,157325474,156664763.2924,42469.655023327214,2.9042746836813222,0.43225354916885755,
ammunition,ndes,47890537,47821793.675,23546.633576589356,68857491,47820949.04467955,72233.31918457412,0.9989910222007667,1,0.9989910222007667,47896067,47821742.0308,23916.66333542142,1148.1274927560935,18.10657673671139,
ammunition,petrinet,47869855,47806314.92,24663.11147891566,68801726,47806498.88777112,71086.5897851963,0.9989280495271935,1,0.9989280495271935,47877854,47805605.3528,24548.358356622022,36809.092896174865,566.2810304449649,
ammunition,rijndael_dec,48559562,48261140.54,24770.111033926212,68752522,48258992.209047906,69154.78680136341,0.9986952099651032,1,0.9986952099651032,48559562,48261630.0908,23107.470830158414,50.41565145615082,1.5044938702455108,
ammunition,rijndael_enc,48315883,48238416.219,25170.256306751955,68706994,48236752.61452386,69673.84234008302,0.9987356817778374,1,0.9987356817778374,48315883,48238247.0368,24378.861986765372,52.57134447438632,1.2971403342315895,
ammunition,statemate,47879265,47813497.534,24085.90794515304,68819332,47811788.25846741,71716.86374480318,0.9989497264652004,1,0.9989497264652004,47879265,47811589.6248,24005.245026492394,1467.1867571099633,22.615501898064597,
